Hours_Studied,Attendance,Previous_Scores,Motivation_Level,Family_Income,Teacher_Quality,School_Type,Parental_Education_Level,Exam_Score
15,95,93,Medium,Low,Medium,Public,College,70
17,88,94,Low,Medium,Medium,Public,High School,69
25,63,72,Medium,Medium,High,Private,College,67
22,86,54,Medium,Medium,Medium,Public,High School,64
17,86,97,High,High,Medium,Public,College,71
23,98,54,Low,Medium,Medium,Public,College,68
21,60,80,Medium,Medium,High,Public,College,64
26,70,75,Medium,Medium,Low,Private,High School,63
16,97,92,Low,High,Medium,Private,College,71
18,97,75,Low,Low,Medium,Public,High School,69
18,89,73,Medium,High,Medium,Private,College,100
11,91,94,Medium,Medium,Medium,Public,College,68
22,64,98,Low,Medium,Medium,Public,High School,62
22,81,77,Low,Medium,Medium,Public,Postgraduate,68
20,69,73,Medium,Low,Medium,Private,High School,66
19,67,92,High,Medium,Medium,Public,College,64
12,92,92,High,Medium,High,Public,High School,67
17,65,66,Medium,High,High,Public,Postgraduate,65
18,79,79,Medium,Low,High,Private,College,65
15,98,58,High,Low,High,Public,College,69
19,67,82,High,Low,Low,Private,High School,63
22,99,92,Low,Medium,Medium,Public,Postgraduate,72
31,100,59,Medium,High,High,Public,Postgraduate,76
21,82,66,High,Low,Medium,Public,College,69
22,67,72,High,Low,High,Public,Postgraduate,67
20,73,92,Medium,Medium,High,Public,College,69
8,77,87,Medium,Low,Medium,Public,High School,63
20,72,66,Medium,Low,High,Private,Postgraduate,67
20,71,62,High,Medium,Medium,Public,College,66
35,99,85,Low,Medium,High,Private,Postgraduate,79
19,66,74,Medium,High,Medium,Public,High School,64
22,89,80,Medium,High,High,Public,High School,73
20,60,82,High,Low,High,Public,High School,63
13,84,78,Medium,Low,High,Public,High School,65
27,97,81,Medium,High,Medium,Public,High School,73
25,72,94,Low,Low,Medium,Private,College,70
25,67,93,High,Low,High,Public,High School,68
15,86,57,Medium,Medium,Medium,Public,College,65
28,89,79,High,Low,Medium,Private,College,71
12,88,72,Low,Medium,Medium,Public,College,64
24,73,64,Medium,High,Medium,Private,College,68
33,70,82,Low,Low,High,Public,College,69
14,98,76,Medium,Medium,High,Private,College,69
17,97,89,Medium,Low,,Public,High School,69
21,78,55,Medium,High,Low,Private,College,67
17,94,65,Low,Medium,Medium,Public,High School,68
11,78,51,Medium,Low,Medium,Public,Postgraduate,64
20,77,87,Low,Low,High,Public,High School,66
14,66,96,Medium,Low,High,Public,High School,63
23,77,79,Medium,Low,High,Public,High School,66
14,81,81,Medium,Low,High,Private,Postgraduate,66
29,61,52,Low,Low,Medium,Private,College,67
15,78,75,Low,Low,Medium,Public,High School,65
18,91,76,Medium,Medium,Medium,Public,High School,68
25,87,52,High,Low,High,Private,High School,68
13,85,89,Medium,High,Medium,Private,High School,65
21,96,64,High,Medium,High,Public,College,71
28,61,86,High,Low,Medium,Private,Postgraduate,65
10,82,70,Medium,Low,High,Public,Postgraduate,64
21,91,100,Medium,High,Medium,Private,Postgraduate,72
22,82,61,Medium,Low,Medium,Public,High School,65
25,73,53,High,Low,High,Private,Postgraduate,66
13,65,99,Medium,Low,Medium,Private,High School,61
12,96,62,Medium,Medium,High,Public,College,68
23,79,82,Low,Medium,Medium,Public,Postgraduate,69
22,95,69,Medium,Low,Medium,Public,College,72
22,83,82,Medium,Low,High,Public,Postgraduate,71
22,87,80,Low,Low,High,Public,High School,70
16,92,85,Low,Low,Medium,Public,High School,68
21,86,51,Medium,Low,High,Public,High School,67
22,76,92,Medium,Low,High,Public,High School,68
16,81,74,Medium,Medium,Medium,Public,Postgraduate,68
31,92,76,Medium,Medium,High,Public,High School,72
23,75,71,Low,Medium,Medium,Public,College,65
13,76,99,Low,Medium,Medium,Private,High School,66
24,64,90,High,Low,High,Public,High School,65
14,97,66,Medium,Medium,Medium,Public,College,67
25,64,89,Low,Medium,Medium,Public,College,66
27,86,72,Low,Medium,High,Public,High School,69
15,77,94,Low,High,High,Public,College,66
26,76,52,Medium,High,Low,Public,High School,69
22,87,68,Medium,Low,Medium,Public,High School,67
25,63,71,Medium,Medium,Low,Private,High School,66
31,84,87,Medium,Low,Medium,Private,College,71
19,91,59,Medium,Medium,High,Public,College,70
15,93,64,Medium,Medium,High,Public,Postgraduate,71
15,67,86,High,High,Medium,Private,Postgraduate,66
15,96,54,High,Medium,High,Public,High School,67
20,86,60,Medium,Medium,Medium,Public,College,66
22,95,88,Low,Low,High,Public,Postgraduate,72
22,79,94,Medium,Medium,Medium,Public,High School,68
25,82,86,Medium,Low,High,Public,High School,69
20,97,76,Low,Low,Low,Private,Postgraduate,71
29,96,55,Low,Medium,Medium,Public,Postgraduate,70
18,78,91,High,High,Low,Public,College,67
36,71,56,Medium,High,Medium,Public,High School,69
24,76,69,Low,Medium,Medium,Public,High School,65
15,76,53,Medium,Low,Medium,Public,College,65
14,71,85,Low,Medium,High,Public,High School,64
23,71,75,Low,Low,Medium,Public,College,63
19,94,95,Medium,Low,Low,Public,High School,69
24,63,57,Medium,Low,High,Private,College,64
23,87,91,High,High,Medium,Private,High School,72
20,67,76,Medium,Medium,Medium,Public,High School,63
15,74,68,Low,Low,Medium,Public,High School,64
11,62,82,Medium,High,Medium,Private,College,64
17,71,90,Medium,Medium,Medium,Public,Postgraduate,67
25,91,72,Low,Medium,High,Public,Postgraduate,71
21,95,62,High,Medium,Low,Public,High School,70
13,69,96,Low,High,Medium,Private,High School,61
21,79,66,Low,Low,Medium,Public,College,67
22,79,100,Medium,High,High,Public,College,72
15,95,88,Low,Low,Medium,Public,High School,66
21,91,84,Medium,High,Low,Public,High School,70
20,81,51,High,Medium,Medium,Public,High School,67
13,87,72,Medium,Medium,High,Public,High School,67
22,94,75,High,High,Medium,Public,College,71
23,60,69,Medium,Low,Medium,Private,College,66
26,76,57,Medium,Medium,Medium,Public,High School,68
26,96,68,Medium,High,Medium,Private,College,74
12,90,54,Medium,High,Medium,Public,High School,64
14,82,65,Medium,Low,Medium,Private,College,65
23,81,54,Medium,Low,Medium,Public,College,66
23,74,88,Low,Medium,High,Public,High School,66
23,81,84,Medium,Medium,Medium,Public,High School,68
43,86,97,Medium,Medium,High,Public,High School,78
23,77,69,Low,Medium,Medium,Private,High School,67
27,89,89,Medium,Medium,Medium,Private,High School,74
26,94,79,High,Low,High,Public,Postgraduate,74
24,66,82,Low,Medium,Medium,Public,High School,62
18,78,77,Medium,Medium,Medium,Public,High School,66
25,76,89,High,Medium,High,Public,High School,69
15,87,52,Medium,Low,High,Private,College,68
19,70,54,High,Medium,Medium,Public,High School,89
17,86,55,Low,High,Medium,Private,College,66
20,95,64,Low,Medium,High,Public,High School,68
34,77,80,Low,Medium,Medium,Public,High School,69
9,96,82,High,Low,Medium,Public,College,67
24,100,86,Low,Medium,Medium,Private,High School,75
10,64,64,High,Medium,Medium,Public,High School,60
17,69,83,Medium,Medium,High,Private,College,66
27,98,56,Low,High,Medium,Private,College,73
20,98,50,Low,Medium,High,Private,High School,68
14,64,85,Medium,Medium,Medium,Public,High School,62
16,61,86,Low,Low,High,Public,High School,62
24,66,81,High,Medium,Medium,Public,High School,65
16,100,63,High,Low,Medium,Public,High School,69
21,67,96,Low,Low,Medium,Public,High School,64
20,80,94,Medium,Low,Low,Private,Postgraduate,67
16,94,76,Medium,Low,High,Public,High School,70
33,61,99,High,Medium,High,Public,College,70
24,84,65,Low,Medium,High,Public,High School,69
8,71,75,Medium,Medium,High,Public,High School,61
21,94,96,Low,Medium,Medium,Private,Postgraduate,69
16,71,73,Medium,Medium,Medium,Public,High School,63
25,87,74,Low,Medium,High,Public,High School,67
15,87,54,Medium,Medium,Medium,Public,,65
19,69,61,High,High,High,Public,High School,66
23,61,58,Medium,Medium,Medium,Public,High School,63
25,76,78,Medium,Medium,Medium,Private,High School,68
13,72,66,Medium,Low,High,Public,Postgraduate,65
18,92,54,Medium,Medium,Medium,Public,High School,67
17,92,75,Medium,Medium,High,Public,Postgraduate,68
16,78,83,Medium,Low,Low,Public,College,64
31,84,87,High,Medium,Medium,Private,College,71
22,84,92,Low,Medium,Medium,Public,High School,69
12,93,74,Low,Medium,Medium,Public,Postgraduate,67
26,77,70,Low,High,Low,Public,College,65
33,71,84,Medium,Medium,Medium,Public,High School,68
26,71,51,Low,High,Medium,Private,Postgraduate,67
11,81,82,High,Medium,High,Public,High School,67
17,78,70,Medium,Low,High,Public,High School,66
28,78,73,High,Medium,Medium,Public,College,70
16,64,65,Medium,Medium,High,Private,Postgraduate,65
23,89,56,Low,Medium,Low,Private,Postgraduate,69
25,69,70,Low,High,High,Public,High School,65
14,68,65,Medium,High,Medium,Public,College,63
20,77,98,Low,Low,High,Private,Postgraduate,67
1,69,97,Medium,Low,Medium,Public,High School,61
14,83,82,Medium,Medium,Medium,Public,High School,65
18,75,95,Medium,Low,Low,Public,College,66
13,78,88,High,High,Low,Public,College,66
30,81,67,Medium,High,High,Public,High School,69
11,68,80,Medium,Medium,Medium,Public,College,63
17,66,61,Medium,High,Medium,Public,Postgraduate,65
21,95,84,Low,High,Medium,Public,High School,67
29,77,52,Medium,High,Medium,Public,High School,69
11,76,92,Medium,Medium,Low,Public,Postgraduate,65
27,61,79,Medium,Low,Medium,Public,High School,65
20,80,53,Medium,Low,Medium,Public,College,65
14,82,94,Low,Low,High,Public,College,67
23,82,94,Medium,Medium,Medium,Public,High School,66
21,88,93,Medium,Low,Medium,Public,High School,72
16,67,89,High,Low,Medium,Public,College,66
20,70,84,Low,Medium,High,Private,College,65
18,92,70,Medium,Low,Medium,Public,High School,69
21,98,57,Medium,High,Low,Public,High School,68
24,65,64,Low,High,Medium,Public,Postgraduate,64
30,80,67,Medium,Medium,Medium,Public,College,69
13,69,68,Low,High,Medium,Public,High School,59
33,62,78,Medium,Medium,Medium,Private,High School,68
8,73,60,Medium,High,Medium,Private,High School,60
19,66,59,Medium,High,Medium,Public,High School,62
24,88,86,Low,Low,Low,Public,College,67
22,81,50,High,Medium,Medium,Private,High School,68
16,66,57,High,Medium,Medium,Public,High School,64
19,60,72,High,Low,High,Public,High School,65
17,92,57,Medium,Medium,Medium,Private,High School,65
16,67,98,Medium,Low,Low,Public,High School,63
25,84,84,Low,Medium,High,Public,High School,70
22,73,72,Low,Medium,Medium,Public,High School,66
16,83,56,Low,High,Medium,Public,High School,68
25,73,69,Medium,Medium,Medium,Private,High School,66
22,63,83,Medium,Medium,Medium,Private,College,63
25,69,98,Medium,Low,Medium,Public,College,66
24,68,74,Medium,Medium,Medium,Public,High School,65
15,77,85,High,Low,Medium,Public,Postgraduate,66
17,86,60,High,High,Low,Private,College,67
24,71,81,Medium,Low,Medium,Private,High School,66
24,60,62,High,Low,High,Public,High School,63
20,81,60,Low,Medium,Medium,Public,High School,66
21,84,75,Low,High,Medium,Public,College,67
28,99,61,Medium,Low,Medium,Public,High School,71
16,84,86,Medium,Low,Medium,Private,High School,67
23,79,97,Medium,High,Low,Public,High School,69
19,83,70,Medium,Low,Medium,Public,Postgraduate,67
19,97,66,High,Medium,Medium,Private,College,72
27,93,59,High,Low,Medium,Private,High School,70
25,73,70,Low,Low,Medium,Private,Postgraduate,67
25,69,78,Medium,Low,High,Public,High School,64
28,71,69,High,Medium,High,Private,College,67
20,80,81,Medium,Medium,Medium,Private,Postgraduate,69
24,90,83,Medium,Low,Medium,Private,College,68
18,80,55,Low,Low,Low,Public,High School,63
22,63,85,Medium,High,High,Public,College,68
19,89,95,Medium,Medium,Medium,Public,High School,70
21,92,51,Low,Medium,Medium,Public,College,66
24,72,78,High,Low,High,Public,High School,68
15,87,80,High,Low,Medium,Private,College,67
33,77,85,Medium,Low,Medium,Private,High School,69
14,96,69,High,Medium,Medium,Private,College,66
13,94,91,Low,Low,Medium,Public,High School,68
27,81,77,Medium,Medium,Low,Public,Postgraduate,69
25,88,70,Low,Medium,Medium,Private,Postgraduate,70
24,95,86,High,Medium,High,Private,College,74
24,80,96,High,Low,High,Public,College,70
20,73,91,Low,Medium,High,Public,Postgraduate,66
15,90,97,Medium,Low,High,Private,College,69
20,69,63,Low,Low,Medium,Public,Postgraduate,64
16,76,56,Medium,Low,Medium,Public,High School,62
26,95,77,Medium,Medium,Medium,Public,High School,70
19,89,52,Medium,Medium,Medium,Public,High School,68
15,76,84,Low,Medium,High,Public,College,65
18,69,62,Low,Medium,Medium,Public,High School,65
22,74,73,Low,High,High,Public,Postgraduate,71
17,71,83,Low,Medium,Medium,Public,High School,66
15,67,74,Medium,Low,Medium,Public,College,61
21,90,62,Low,Medium,High,Public,High School,67
21,70,94,Medium,Low,High,Private,College,65
17,78,88,Medium,Low,Medium,Public,High School,65
17,75,80,Medium,Low,Medium,Private,High School,65
21,99,85,High,Medium,Medium,Public,High School,73
11,76,71,Medium,Medium,Low,Public,College,62
12,63,69,Low,Medium,High,Public,College,60
16,64,58,Low,Medium,Medium,Public,College,61
19,84,90,High,Low,Medium,Private,Postgraduate,67
22,84,69,Medium,Medium,High,Private,College,70
29,77,85,Medium,Medium,Medium,Public,College,69
25,77,65,High,Medium,Medium,Public,College,66
19,62,90,Low,Low,High,Public,College,64
20,81,55,Medium,High,Medium,Private,Postgraduate,68
14,80,81,Medium,Low,Medium,Public,Postgraduate,67
20,66,90,High,Medium,Medium,Public,College,64
18,64,83,High,Low,Medium,Public,College,65
22,65,85,Medium,High,Medium,Public,Postgraduate,66
15,64,76,High,Medium,Medium,Private,High School,63
23,84,78,Low,Low,Low,Public,High School,68
29,68,53,Medium,Medium,Medium,Private,High School,66
19,70,63,Low,Low,Low,Public,High School,63
22,67,86,Low,Low,Medium,Public,High School,63
24,98,97,Medium,Medium,Medium,Public,College,74
18,94,77,Low,Medium,High,Public,College,70
21,69,86,Medium,Low,Medium,Private,High School,68
20,73,84,Medium,Medium,Medium,Public,Postgraduate,66
21,68,100,Low,Medium,Medium,Public,High School,63
15,80,90,Medium,Low,Medium,Public,College,67
20,61,81,Medium,Medium,Low,Public,High School,62
23,87,56,Medium,Medium,High,Public,Postgraduate,71
29,81,68,Medium,Medium,Medium,Public,Postgraduate,72
26,96,63,Medium,High,Medium,Private,Postgraduate,72
33,67,93,High,Low,High,Public,High School,68
15,92,72,Low,Medium,Medium,Public,High School,66
25,92,77,Medium,Low,Medium,Public,High School,70
21,65,98,High,Low,Medium,Private,Postgraduate,66
33,76,92,Low,High,Medium,Private,Postgraduate,72
15,67,89,Low,High,High,Public,High School,64
15,70,57,Medium,Medium,Medium,Private,High School,63
16,71,51,Medium,Low,Medium,Public,Postgraduate,61
7,82,56,Medium,Low,Medium,Private,High School,62
17,76,87,High,Medium,High,Public,High School,68
15,98,71,Low,Medium,Medium,Public,High School,68
21,65,56,High,Medium,Medium,Public,High School,63
22,99,87,Low,Medium,Medium,Private,High School,70
31,69,60,Medium,Low,Medium,Public,Postgraduate,68
26,91,79,Medium,Low,Medium,Private,High School,72
17,74,87,Medium,Low,Low,Public,College,67
15,66,80,Medium,Low,Medium,Private,College,61
23,94,100,Medium,Low,Medium,Public,Postgraduate,69
12,72,72,High,Low,High,Private,High School,61
31,86,66,Medium,Medium,Medium,Public,College,75
27,83,60,Medium,High,Low,Public,College,68
17,79,75,Low,Medium,High,Public,High School,65
10,80,93,High,Medium,,Public,College,67
28,89,97,High,Medium,Low,Public,High School,75
19,64,99,Medium,Medium,Medium,Public,College,64
27,87,77,Medium,Low,High,Public,High School,70
10,96,80,Medium,Medium,Medium,Public,High School,67
16,62,79,Low,Medium,Medium,Public,High School,63
20,66,73,Medium,Medium,Medium,Public,College,65
20,89,58,Medium,Medium,Medium,Public,High School,67
17,77,53,Medium,High,Medium,Public,College,86
24,76,72,High,Medium,High,Public,High School,67
14,65,59,Low,High,Medium,Public,Postgraduate,63
19,80,94,Medium,Medium,Low,Public,College,66
21,65,88,Low,Low,Medium,Private,,65
23,79,81,Medium,Medium,Medium,Private,High School,67
24,91,52,Low,High,High,Public,College,69
13,70,81,Medium,Medium,Low,Public,Postgraduate,66
11,79,81,Medium,High,Medium,Public,High School,64
28,100,72,Medium,Low,Medium,Public,Postgraduate,73
22,87,83,Low,Low,Medium,Public,College,66
16,94,93,Low,Low,Medium,Public,Postgraduate,68
29,77,88,Low,Medium,High,Public,College,70
21,91,74,Medium,Low,Low,Private,,69
27,62,63,Low,High,Medium,Public,High School,67
20,65,74,Low,Medium,Medium,Private,College,62
32,68,97,High,Low,Medium,Public,High School,68
31,76,91,Medium,Low,Medium,Private,Postgraduate,72
19,94,51,Medium,Medium,Low,Private,Postgraduate,69
26,74,89,Low,High,High,Private,High School,66
24,86,59,Medium,Low,Medium,Public,High School,70
28,88,79,Medium,Medium,Medium,Public,High School,71
14,83,90,Medium,Low,Low,Public,College,65
24,74,78,Medium,Low,High,Public,College,70
26,83,70,High,Medium,High,Public,High School,65
9,74,66,Low,High,High,Private,High School,62
13,63,65,Medium,High,Medium,Private,High School,62
8,100,92,Medium,Medium,High,Public,Postgraduate,70
18,65,91,Medium,Low,Medium,Private,College,66
24,63,91,Low,Low,Medium,Private,High School,67
29,95,64,Medium,Medium,High,Public,High School,72
20,72,90,Low,Low,High,Private,Postgraduate,66
30,86,52,Medium,Medium,Medium,Public,College,68
12,73,60,Medium,Low,Medium,Public,High School,62
10,76,76,Medium,High,High,Private,Postgraduate,64
20,70,70,Medium,Low,Medium,Public,Postgraduate,65
22,74,56,Low,Medium,High,Public,Postgraduate,66
20,76,52,Medium,Low,High,Private,High School,64
8,89,81,Low,Low,Medium,Public,College,67
19,80,66,Low,Medium,Medium,Public,College,69
12,98,51,Medium,Medium,Low,Public,Postgraduate,68
24,62,72,High,Low,Low,Public,High School,64
22,80,65,Medium,High,Medium,Private,High School,68
14,83,79,Medium,Medium,Low,Public,High School,64
17,97,96,High,High,Medium,Public,Postgraduate,71
14,62,65,Low,Low,Medium,Public,High School,61
20,83,100,Medium,Low,Medium,Public,College,68
26,94,54,Low,High,Medium,Public,,73
14,70,54,Medium,Medium,Medium,Public,College,64
23,95,86,Medium,Low,Medium,Public,Postgraduate,72
17,61,87,High,Medium,Medium,Public,High School,65
15,89,71,Medium,Medium,High,Public,High School,68
19,97,64,Medium,Low,High,Public,High School,71
14,86,90,Medium,Medium,,Public,Postgraduate,65
17,78,98,Low,Medium,Medium,Private,High School,66
13,62,99,Medium,Medium,Low,Public,Postgraduate,63
32,97,82,Medium,Medium,Medium,Public,High School,74
20,79,87,Low,Medium,High,Private,High School,66
16,61,91,High,Medium,High,Public,College,63
21,88,90,High,High,Medium,Private,High School,72
19,79,100,Low,High,High,Public,College,69
19,65,91,Medium,Medium,High,Public,College,67
24,69,83,Low,Low,Medium,Private,High School,66
25,63,69,Medium,Low,High,Private,High School,64
17,83,80,Medium,Medium,High,Public,College,67
17,85,94,High,Low,Medium,Public,College,69
18,80,65,Medium,Low,High,Public,College,65
6,93,52,High,Medium,Medium,Public,College,64
11,94,66,High,High,Low,Public,High School,65
28,85,98,Medium,Low,High,Private,High School,72
30,61,90,Medium,Low,High,Public,High School,66
19,88,59,Medium,Low,Medium,Public,College,66
23,77,51,Medium,Low,Low,Private,College,67
22,83,83,High,High,Medium,Private,Postgraduate,69
38,86,79,Low,Low,Medium,Public,High School,73
27,74,54,Medium,Medium,Medium,Public,College,69
19,97,98,Medium,Low,Medium,Private,High School,68
14,65,81,Medium,Low,Medium,Public,High School,61
10,87,83,Medium,Low,Medium,Public,High School,63
21,60,93,Low,Low,Medium,Public,High School,63
15,97,67,Medium,Low,High,Public,College,68
11,65,78,Medium,Low,Medium,Public,Postgraduate,63
16,64,79,Medium,Medium,Medium,Private,Postgraduate,66
14,73,98,Medium,Low,Medium,Public,High School,65
30,75,57,High,Low,Medium,Public,College,68
25,69,88,High,Low,Medium,Public,College,66
20,83,79,Low,Medium,Medium,Public,Postgraduate,66
29,78,92,Medium,Low,Medium,Private,High School,70
20,61,92,Medium,Medium,Medium,Public,High School,61
15,73,51,Medium,Low,High,Private,High School,61
29,92,63,High,Low,High,Private,High School,71
23,88,59,Medium,Medium,Medium,Public,High School,67
14,89,73,Medium,Medium,High,Public,College,70
19,88,95,Medium,Low,Medium,Private,College,69
15,72,50,Medium,Medium,Medium,Public,High School,65
12,64,74,High,Medium,Medium,Public,High School,61
26,71,94,Low,Low,Medium,Public,Postgraduate,68
31,93,96,Medium,Low,Medium,Public,High School,74
12,99,83,Low,Medium,Medium,Public,High School,67
23,80,91,Low,High,Medium,Public,High School,70
16,60,66,Low,High,High,Private,High School,59
17,66,64,Low,Medium,High,Private,College,64
16,73,52,Medium,Medium,High,Public,College,66
15,83,75,Medium,Medium,Medium,Public,High School,63
20,63,73,Low,High,Medium,Public,College,61
15,98,69,Low,Low,Medium,Public,High School,68
22,75,56,Low,Medium,Medium,Private,High School,65
20,97,62,Medium,Medium,Medium,Private,High School,69
19,91,60,Medium,Low,Medium,Private,High School,68
15,90,97,Low,High,High,Public,High School,69
17,84,98,High,Low,High,Public,College,67
25,85,50,High,High,Medium,Public,College,70
23,86,59,Low,Low,Medium,Public,Postgraduate,68
14,85,94,Low,High,Medium,Public,College,67
21,82,52,Medium,Low,Medium,Public,High School,67
25,99,97,High,Medium,Medium,Public,College,75
10,89,69,Low,Low,Medium,Public,College,63
23,91,77,High,Low,Medium,Public,High School,70
16,95,88,Low,High,High,Public,High School,70
23,69,62,Medium,Medium,Medium,Public,High School,64
15,63,55,Low,Medium,Low,Public,College,59
9,79,90,High,High,Low,Public,High School,63
10,81,99,Medium,Medium,Medium,Public,Postgraduate,67
20,93,83,Medium,Medium,Medium,Private,High School,68
22,78,91,Low,Medium,High,Private,Postgraduate,68
15,83,97,Medium,Low,High,Private,High School,97
24,81,61,Medium,Low,Low,Public,College,66
10,62,68,High,Medium,Medium,Public,Postgraduate,61
20,85,61,High,High,Medium,Public,College,70
13,93,53,High,Medium,Low,Public,Postgraduate,65
16,66,87,High,Medium,Medium,Public,High School,64
20,84,57,High,Medium,Medium,Public,High School,69
15,84,55,Low,Medium,Medium,Private,High School,64
18,67,68,Low,Low,High,Private,Postgraduate,61
26,65,53,Low,High,Medium,Public,High School,64
17,99,59,Medium,Medium,Medium,Public,High School,68
25,76,53,High,High,High,Public,High School,67
13,69,94,Medium,Low,Low,Public,High School,62
23,67,89,Medium,Low,High,Public,High School,66
29,87,93,High,Low,Medium,Public,High School,72
5,84,93,High,High,High,Public,College,68
15,86,97,Medium,High,Medium,Public,High School,71
23,64,59,High,Medium,Medium,Public,High School,65
19,96,95,Low,Medium,Low,Private,High School,68
22,76,76,Medium,Low,High,Public,High School,65
16,73,58,Medium,Medium,Medium,Public,High School,64
21,78,83,Medium,Medium,Medium,Public,High School,65
19,76,66,Low,Low,High,Private,High School,65
27,95,52,High,Medium,High,Private,College,73
22,97,54,Medium,Low,High,Public,Postgraduate,72
22,72,71,Medium,Medium,Medium,Private,College,64
18,95,91,Low,Low,Medium,Public,Postgraduate,69
17,91,66,High,High,Medium,Private,High School,69
17,97,88,Medium,Medium,Medium,Public,High School,70
22,70,53,Low,Low,Medium,Public,High School,83
17,83,70,Low,Low,Medium,Private,Postgraduate,68
22,71,56,High,Low,High,Public,College,84
32,93,93,High,Medium,High,Public,Postgraduate,75
25,60,98,Medium,Medium,Medium,Public,Postgraduate,67
18,83,66,Medium,High,Medium,Private,Postgraduate,69
27,74,99,High,Medium,Medium,Public,High School,71
18,73,88,Medium,Medium,Medium,Public,College,66
8,86,50,High,Medium,Medium,Public,College,65
14,94,74,Medium,High,Medium,Private,College,70
9,84,92,High,Low,High,Public,Postgraduate,66
