"Hours_Studied","Attendance","Previous_Scores","Motivation_Level","Family_Income","Teacher_Quality","School_Type","Parental_Education_Level","Exam_Score","gruppi","Previous_Level","Score_Groups","Study_level"
25,65,90,"Medium","Medium","Medium","Public","College",68,"21-30","3","2","3"
13,72,93,"Low","Low","Medium","Public","High School",61,"11-20","3","1","2"
21,65,91,"Low","Medium","High","Public","High School",64,"21-30","3","1","3"
8,99,54,"Low","Low","Medium","Public","Postgraduate",67,"0-10","1","2","1"
12,72,84,"Medium","Low","Medium","Public","High School",63,"11-20","2","1","2"
21,65,98,"Low","Medium","High","Public","High School",64,"21-30","3","1","3"
24,68,56,"Low","High","High","Public","College",67,"21-30","1","2","3"
21,84,52,"Low","Medium","High","Public","College",65,"21-30","1","1","3"
19,63,94,"Medium","Medium","Medium","Private","High School",64,"11-20","3","1","2"
18,94,82,"Medium","Medium","Medium","Private","College",70,"11-20","2","3","2"
11,98,82,"Low","Medium","Medium","Private","Postgraduate",68,"11-20","2","2","2"
16,70,98,"Medium","Medium","Medium","Public","High School",65,"11-20","3","1","2"
17,78,88,"Medium","Medium","High","Private","College",68,"11-20","3","2","2"
26,61,70,"Medium","Low","Medium","Public","High School",64,"21-30","2","1","3"
22,86,72,"Low","Low","High","Public","High School",68,"21-30","2","2","3"
9,77,57,"Medium","Medium","High","Public","High School",63,"0-10","1","1","1"
22,71,65,"Low","Medium","Low","Public","College",64,"21-30","2","1","3"
18,68,72,"Medium","Medium","Medium","Public","College",64,"11-20","2","1","2"
16,86,63,"Medium","Medium","Medium","Public","High School",67,"11-20","1","2","2"
24,77,96,"Medium","Medium","Medium","Public","High School",67,"21-30","3","2","3"
26,67,51,"Low","High","High","Private","Postgraduate",66,"21-30","1","2","3"
26,88,79,"Medium","Low","High","Private","College",72,"21-30","2","3","3"
15,83,89,"Low","Medium","High","Public","High School",65,"11-20","3","1","2"
18,94,87,"High","Medium","Medium","Public","High School",71,"11-20","2","3","2"
22,65,82,"Medium","Medium","High","Public","Postgraduate",66,"21-30","2","2","3"
26,91,71,"Medium","Low","Medium","Private","High School",68,"21-30","2","2","3"
17,87,96,"Medium","High","Medium","Public","Postgraduate",70,"11-20","3","3","2"
19,65,66,"Low","Low","Medium","Public","High School",62,"11-20","2","1","2"
13,88,88,"High","Low","High","Private","Postgraduate",68,"11-20","3","2","2"
13,78,96,"High","Low","Medium","Public","College",67,"11-20","3","2","2"
25,98,56,"Medium","Medium","High","Private","Postgraduate",71,"21-30","1","3","3"
28,66,97,"Medium","Medium","Medium","Public","High School",68,"21-30","3","2","3"
20,86,89,"Medium","Low","Medium","Public","Postgraduate",69,"11-20","3","2","3"
26,75,81,"High","Medium","High","Private","High School",70,"21-30","2","3","3"
22,98,69,"Low","Low","High","Public","High School",69,"21-30","2","2","3"
16,73,95,"Medium","Low","Medium","Public","College",65,"11-20","3","1","2"
22,98,52,"Medium","Medium","Medium","Public","College",70,"21-30","1","3","3"
29,96,72,"Medium","Low","Medium","Public","High School",71,"21-30","2","3","3"
20,71,88,"Medium","Low","Low","Public","College",65,"11-20","3","1","3"
29,92,91,"Medium","Medium","Medium","Public","Postgraduate",72,"21-30","3","3","3"
4,100,60,"High","Medium","High","Private","College",69,"0-10","1","2","1"
25,70,52,"Medium","Medium","Medium","Public","Postgraduate",66,"21-30","1","2","3"
21,77,90,"Medium","Medium","Medium","Private","Postgraduate",68,"21-30","3","2","3"
18,81,71,"Medium","Medium","Medium","Public","High School",65,"11-20","2","1","2"
21,72,57,"Medium","High","Medium","Public","College",64,"21-30","1","1","3"
8,61,54,"Medium","High","Medium","Public","College",60,"0-10","1","1","1"
19,69,82,"High","Low","Medium","Public","High School",65,"11-20","2","1","2"
22,71,79,"High","Low","Low","Public","High School",66,"21-30","2","2","3"
29,78,93,"Low","Medium","High","Public","College",74,"21-30","3","3","3"
17,67,52,"High","Medium","Medium","Private","High School",62,"11-20","1","1","2"
15,95,93,"Medium","Low","Medium","Public","College",70,"11-20","3","3","2"
17,88,94,"Low","Medium","Medium","Public","High School",69,"11-20","3","2","2"
25,63,72,"Medium","Medium","High","Private","College",67,"21-30","2","2","3"
22,86,54,"Medium","Medium","Medium","Public","High School",64,"21-30","1","1","3"
17,86,97,"High","High","Medium","Public","College",71,"11-20","3","3","2"
23,98,54,"Low","Medium","Medium","Public","College",68,"21-30","1","2","3"
21,60,80,"Medium","Medium","High","Public","College",64,"21-30","2","1","3"
26,70,75,"Medium","Medium","Low","Private","High School",63,"21-30","2","1","3"
16,97,92,"Low","High","Medium","Private","College",71,"11-20","3","3","2"
18,97,75,"Low","Low","Medium","Public","High School",69,"11-20","2","2","2"
18,89,73,"Medium","High","Medium","Private","College",100,"11-20","2","3","2"
11,91,94,"Medium","Medium","Medium","Public","College",68,"11-20","3","2","2"
22,64,98,"Low","Medium","Medium","Public","High School",62,"21-30","3","1","3"
22,81,77,"Low","Medium","Medium","Public","Postgraduate",68,"21-30","2","2","3"
20,69,73,"Medium","Low","Medium","Private","High School",66,"11-20","2","2","3"
19,67,92,"High","Medium","Medium","Public","College",64,"11-20","3","1","2"
12,92,92,"High","Medium","High","Public","High School",67,"11-20","3","2","2"
17,65,66,"Medium","High","High","Public","Postgraduate",65,"11-20","2","1","2"
18,79,79,"Medium","Low","High","Private","College",65,"11-20","2","1","2"
15,98,58,"High","Low","High","Public","College",69,"11-20","1","2","2"
19,67,82,"High","Low","Low","Private","High School",63,"11-20","2","1","2"
22,99,92,"Low","Medium","Medium","Public","Postgraduate",72,"21-30","3","3","3"
31,100,59,"Medium","High","High","Public","Postgraduate",76,"30+","1","3","4"
21,82,66,"High","Low","Medium","Public","College",69,"21-30","2","2","3"
22,67,72,"High","Low","High","Public","Postgraduate",67,"21-30","2","2","3"
20,73,92,"Medium","Medium","High","Public","College",69,"11-20","3","2","3"
8,77,87,"Medium","Low","Medium","Public","High School",63,"0-10","2","1","1"
20,72,66,"Medium","Low","High","Private","Postgraduate",67,"11-20","2","2","3"
20,71,62,"High","Medium","Medium","Public","College",66,"11-20","1","2","3"
35,99,85,"Low","Medium","High","Private","Postgraduate",79,"30+","2","3","4"
19,66,74,"Medium","High","Medium","Public","High School",64,"11-20","2","1","2"
22,89,80,"Medium","High","High","Public","High School",73,"21-30","2","3","3"
20,60,82,"High","Low","High","Public","High School",63,"11-20","2","1","3"
13,84,78,"Medium","Low","High","Public","High School",65,"11-20","2","1","2"
27,97,81,"Medium","High","Medium","Public","High School",73,"21-30","2","3","3"
25,72,94,"Low","Low","Medium","Private","College",70,"21-30","3","3","3"
25,67,93,"High","Low","High","Public","High School",68,"21-30","3","2","3"
15,86,57,"Medium","Medium","Medium","Public","College",65,"11-20","1","1","2"
28,89,79,"High","Low","Medium","Private","College",71,"21-30","2","3","3"
12,88,72,"Low","Medium","Medium","Public","College",64,"11-20","2","1","2"
24,73,64,"Medium","High","Medium","Private","College",68,"21-30","2","2","3"
33,70,82,"Low","Low","High","Public","College",69,"30+","2","2","4"
14,98,76,"Medium","Medium","High","Private","College",69,"11-20","2","2","2"
17,97,89,"Medium","Low","","Public","High School",69,"11-20","3","2","2"
21,78,55,"Medium","High","Low","Private","College",67,"21-30","1","2","3"
17,94,65,"Low","Medium","Medium","Public","High School",68,"11-20","2","2","2"
11,78,51,"Medium","Low","Medium","Public","Postgraduate",64,"11-20","1","1","2"
20,77,87,"Low","Low","High","Public","High School",66,"11-20","2","2","3"
14,66,96,"Medium","Low","High","Public","High School",63,"11-20","3","1","2"
23,77,79,"Medium","Low","High","Public","High School",66,"21-30","2","2","3"
14,81,81,"Medium","Low","High","Private","Postgraduate",66,"11-20","2","2","2"
29,61,52,"Low","Low","Medium","Private","College",67,"21-30","1","2","3"
15,78,75,"Low","Low","Medium","Public","High School",65,"11-20","2","1","2"
18,91,76,"Medium","Medium","Medium","Public","High School",68,"11-20","2","2","2"
25,87,52,"High","Low","High","Private","High School",68,"21-30","1","2","3"
13,85,89,"Medium","High","Medium","Private","High School",65,"11-20","3","1","2"
21,96,64,"High","Medium","High","Public","College",71,"21-30","2","3","3"
28,61,86,"High","Low","Medium","Private","Postgraduate",65,"21-30","2","1","3"
10,82,70,"Medium","Low","High","Public","Postgraduate",64,"0-10","2","1","2"
21,91,100,"Medium","High","Medium","Private","Postgraduate",72,"21-30","3","3","3"
22,82,61,"Medium","Low","Medium","Public","High School",65,"21-30","1","1","3"
25,73,53,"High","Low","High","Private","Postgraduate",66,"21-30","1","2","3"
13,65,99,"Medium","Low","Medium","Private","High School",61,"11-20","3","1","2"
12,96,62,"Medium","Medium","High","Public","College",68,"11-20","1","2","2"
23,79,82,"Low","Medium","Medium","Public","Postgraduate",69,"21-30","2","2","3"
22,95,69,"Medium","Low","Medium","Public","College",72,"21-30","2","3","3"
22,83,82,"Medium","Low","High","Public","Postgraduate",71,"21-30","2","3","3"
22,87,80,"Low","Low","High","Public","High School",70,"21-30","2","3","3"
16,92,85,"Low","Low","Medium","Public","High School",68,"11-20","2","2","2"
21,86,51,"Medium","Low","High","Public","High School",67,"21-30","1","2","3"
22,76,92,"Medium","Low","High","Public","High School",68,"21-30","3","2","3"
16,81,74,"Medium","Medium","Medium","Public","Postgraduate",68,"11-20","2","2","2"
31,92,76,"Medium","Medium","High","Public","High School",72,"30+","2","3","4"
23,75,71,"Low","Medium","Medium","Public","College",65,"21-30","2","1","3"
13,76,99,"Low","Medium","Medium","Private","High School",66,"11-20","3","2","2"
24,64,90,"High","Low","High","Public","High School",65,"21-30","3","1","3"
14,97,66,"Medium","Medium","Medium","Public","College",67,"11-20","2","2","2"
25,64,89,"Low","Medium","Medium","Public","College",66,"21-30","3","2","3"
27,86,72,"Low","Medium","High","Public","High School",69,"21-30","2","2","3"
15,77,94,"Low","High","High","Public","College",66,"11-20","3","2","2"
26,76,52,"Medium","High","Low","Public","High School",69,"21-30","1","2","3"
22,87,68,"Medium","Low","Medium","Public","High School",67,"21-30","2","2","3"
25,63,71,"Medium","Medium","Low","Private","High School",66,"21-30","2","2","3"
31,84,87,"Medium","Low","Medium","Private","College",71,"30+","2","3","4"
19,91,59,"Medium","Medium","High","Public","College",70,"11-20","1","3","2"
15,93,64,"Medium","Medium","High","Public","Postgraduate",71,"11-20","2","3","2"
15,67,86,"High","High","Medium","Private","Postgraduate",66,"11-20","2","2","2"
15,96,54,"High","Medium","High","Public","High School",67,"11-20","1","2","2"
20,86,60,"Medium","Medium","Medium","Public","College",66,"11-20","1","2","3"
22,95,88,"Low","Low","High","Public","Postgraduate",72,"21-30","3","3","3"
22,79,94,"Medium","Medium","Medium","Public","High School",68,"21-30","3","2","3"
25,82,86,"Medium","Low","High","Public","High School",69,"21-30","2","2","3"
20,97,76,"Low","Low","Low","Private","Postgraduate",71,"11-20","2","3","3"
29,96,55,"Low","Medium","Medium","Public","Postgraduate",70,"21-30","1","3","3"
18,78,91,"High","High","Low","Public","College",67,"11-20","3","2","2"
36,71,56,"Medium","High","Medium","Public","High School",69,"30+","1","2","4"
24,76,69,"Low","Medium","Medium","Public","High School",65,"21-30","2","1","3"
15,76,53,"Medium","Low","Medium","Public","College",65,"11-20","1","1","2"
14,71,85,"Low","Medium","High","Public","High School",64,"11-20","2","1","2"
23,71,75,"Low","Low","Medium","Public","College",63,"21-30","2","1","3"
19,94,95,"Medium","Low","Low","Public","High School",69,"11-20","3","2","2"
24,63,57,"Medium","Low","High","Private","College",64,"21-30","1","1","3"
23,87,91,"High","High","Medium","Private","High School",72,"21-30","3","3","3"
20,67,76,"Medium","Medium","Medium","Public","High School",63,"11-20","2","1","3"
15,74,68,"Low","Low","Medium","Public","High School",64,"11-20","2","1","2"
11,62,82,"Medium","High","Medium","Private","College",64,"11-20","2","1","2"
17,71,90,"Medium","Medium","Medium","Public","Postgraduate",67,"11-20","3","2","2"
25,91,72,"Low","Medium","High","Public","Postgraduate",71,"21-30","2","3","3"
21,95,62,"High","Medium","Low","Public","High School",70,"21-30","1","3","3"
13,69,96,"Low","High","Medium","Private","High School",61,"11-20","3","1","2"
21,79,66,"Low","Low","Medium","Public","College",67,"21-30","2","2","3"
22,79,100,"Medium","High","High","Public","College",72,"21-30","3","3","3"
15,95,88,"Low","Low","Medium","Public","High School",66,"11-20","3","2","2"
21,91,84,"Medium","High","Low","Public","High School",70,"21-30","2","3","3"
20,81,51,"High","Medium","Medium","Public","High School",67,"11-20","1","2","3"
13,87,72,"Medium","Medium","High","Public","High School",67,"11-20","2","2","2"
22,94,75,"High","High","Medium","Public","College",71,"21-30","2","3","3"
23,60,69,"Medium","Low","Medium","Private","College",66,"21-30","2","2","3"
26,76,57,"Medium","Medium","Medium","Public","High School",68,"21-30","1","2","3"
26,96,68,"Medium","High","Medium","Private","College",74,"21-30","2","3","3"
12,90,54,"Medium","High","Medium","Public","High School",64,"11-20","1","1","2"
14,82,65,"Medium","Low","Medium","Private","College",65,"11-20","2","1","2"
23,81,54,"Medium","Low","Medium","Public","College",66,"21-30","1","2","3"
23,74,88,"Low","Medium","High","Public","High School",66,"21-30","3","2","3"
23,81,84,"Medium","Medium","Medium","Public","High School",68,"21-30","2","2","3"
43,86,97,"Medium","Medium","High","Public","High School",78,"30+","3","3","4"
23,77,69,"Low","Medium","Medium","Private","High School",67,"21-30","2","2","3"
27,89,89,"Medium","Medium","Medium","Private","High School",74,"21-30","3","3","3"
26,94,79,"High","Low","High","Public","Postgraduate",74,"21-30","2","3","3"
24,66,82,"Low","Medium","Medium","Public","High School",62,"21-30","2","1","3"
18,78,77,"Medium","Medium","Medium","Public","High School",66,"11-20","2","2","2"
25,76,89,"High","Medium","High","Public","High School",69,"21-30","3","2","3"
15,87,52,"Medium","Low","High","Private","College",68,"11-20","1","2","2"
19,70,54,"High","Medium","Medium","Public","High School",89,"11-20","1","3","2"
17,86,55,"Low","High","Medium","Private","College",66,"11-20","1","2","2"
20,95,64,"Low","Medium","High","Public","High School",68,"11-20","2","2","3"
34,77,80,"Low","Medium","Medium","Public","High School",69,"30+","2","2","4"
9,96,82,"High","Low","Medium","Public","College",67,"0-10","2","2","1"
24,100,86,"Low","Medium","Medium","Private","High School",75,"21-30","2","3","3"
10,64,64,"High","Medium","Medium","Public","High School",60,"0-10","2","1","2"
17,69,83,"Medium","Medium","High","Private","College",66,"11-20","2","2","2"
27,98,56,"Low","High","Medium","Private","College",73,"21-30","1","3","3"
20,98,50,"Low","Medium","High","Private","High School",68,"11-20","1","2","3"
14,64,85,"Medium","Medium","Medium","Public","High School",62,"11-20","2","1","2"
16,61,86,"Low","Low","High","Public","High School",62,"11-20","2","1","2"
24,66,81,"High","Medium","Medium","Public","High School",65,"21-30","2","1","3"
16,100,63,"High","Low","Medium","Public","High School",69,"11-20","1","2","2"
21,67,96,"Low","Low","Medium","Public","High School",64,"21-30","3","1","3"
20,80,94,"Medium","Low","Low","Private","Postgraduate",67,"11-20","3","2","3"
16,94,76,"Medium","Low","High","Public","High School",70,"11-20","2","3","2"
33,61,99,"High","Medium","High","Public","College",70,"30+","3","3","4"
24,84,65,"Low","Medium","High","Public","High School",69,"21-30","2","2","3"
8,71,75,"Medium","Medium","High","Public","High School",61,"0-10","2","1","1"
21,94,96,"Low","Medium","Medium","Private","Postgraduate",69,"21-30","3","2","3"
16,71,73,"Medium","Medium","Medium","Public","High School",63,"11-20","2","1","2"
25,87,74,"Low","Medium","High","Public","High School",67,"21-30","2","2","3"
15,87,54,"Medium","Medium","Medium","Public","",65,"11-20","1","1","2"
19,69,61,"High","High","High","Public","High School",66,"11-20","1","2","2"
23,61,58,"Medium","Medium","Medium","Public","High School",63,"21-30","1","1","3"
25,76,78,"Medium","Medium","Medium","Private","High School",68,"21-30","2","2","3"
13,72,66,"Medium","Low","High","Public","Postgraduate",65,"11-20","2","1","2"
18,92,54,"Medium","Medium","Medium","Public","High School",67,"11-20","1","2","2"
17,92,75,"Medium","Medium","High","Public","Postgraduate",68,"11-20","2","2","2"
16,78,83,"Medium","Low","Low","Public","College",64,"11-20","2","1","2"
31,84,87,"High","Medium","Medium","Private","College",71,"30+","2","3","4"
22,84,92,"Low","Medium","Medium","Public","High School",69,"21-30","3","2","3"
12,93,74,"Low","Medium","Medium","Public","Postgraduate",67,"11-20","2","2","2"
26,77,70,"Low","High","Low","Public","College",65,"21-30","2","1","3"
33,71,84,"Medium","Medium","Medium","Public","High School",68,"30+","2","2","4"
26,71,51,"Low","High","Medium","Private","Postgraduate",67,"21-30","1","2","3"
11,81,82,"High","Medium","High","Public","High School",67,"11-20","2","2","2"
17,78,70,"Medium","Low","High","Public","High School",66,"11-20","2","2","2"
28,78,73,"High","Medium","Medium","Public","College",70,"21-30","2","3","3"
16,64,65,"Medium","Medium","High","Private","Postgraduate",65,"11-20","2","1","2"
23,89,56,"Low","Medium","Low","Private","Postgraduate",69,"21-30","1","2","3"
25,69,70,"Low","High","High","Public","High School",65,"21-30","2","1","3"
14,68,65,"Medium","High","Medium","Public","College",63,"11-20","2","1","2"
20,77,98,"Low","Low","High","Private","Postgraduate",67,"11-20","3","2","3"
1,69,97,"Medium","Low","Medium","Public","High School",61,"0-10","3","1","1"
14,83,82,"Medium","Medium","Medium","Public","High School",65,"11-20","2","1","2"
18,75,95,"Medium","Low","Low","Public","College",66,"11-20","3","2","2"
13,78,88,"High","High","Low","Public","College",66,"11-20","3","2","2"
30,81,67,"Medium","High","High","Public","High School",69,"21-30","2","2","4"
11,68,80,"Medium","Medium","Medium","Public","College",63,"11-20","2","1","2"
17,66,61,"Medium","High","Medium","Public","Postgraduate",65,"11-20","1","1","2"
21,95,84,"Low","High","Medium","Public","High School",67,"21-30","2","2","3"
29,77,52,"Medium","High","Medium","Public","High School",69,"21-30","1","2","3"
11,76,92,"Medium","Medium","Low","Public","Postgraduate",65,"11-20","3","1","2"
27,61,79,"Medium","Low","Medium","Public","High School",65,"21-30","2","1","3"
20,80,53,"Medium","Low","Medium","Public","College",65,"11-20","1","1","3"
14,82,94,"Low","Low","High","Public","College",67,"11-20","3","2","2"
23,82,94,"Medium","Medium","Medium","Public","High School",66,"21-30","3","2","3"
21,88,93,"Medium","Low","Medium","Public","High School",72,"21-30","3","3","3"
16,67,89,"High","Low","Medium","Public","College",66,"11-20","3","2","2"
20,70,84,"Low","Medium","High","Private","College",65,"11-20","2","1","3"
18,92,70,"Medium","Low","Medium","Public","High School",69,"11-20","2","2","2"
21,98,57,"Medium","High","Low","Public","High School",68,"21-30","1","2","3"
24,65,64,"Low","High","Medium","Public","Postgraduate",64,"21-30","2","1","3"
30,80,67,"Medium","Medium","Medium","Public","College",69,"21-30","2","2","4"
13,69,68,"Low","High","Medium","Public","High School",59,"11-20","2","1","2"
33,62,78,"Medium","Medium","Medium","Private","High School",68,"30+","2","2","4"
8,73,60,"Medium","High","Medium","Private","High School",60,"0-10","1","1","1"
19,66,59,"Medium","High","Medium","Public","High School",62,"11-20","1","1","2"
24,88,86,"Low","Low","Low","Public","College",67,"21-30","2","2","3"
22,81,50,"High","Medium","Medium","Private","High School",68,"21-30","1","2","3"
16,66,57,"High","Medium","Medium","Public","High School",64,"11-20","1","1","2"
19,60,72,"High","Low","High","Public","High School",65,"11-20","2","1","2"
17,92,57,"Medium","Medium","Medium","Private","High School",65,"11-20","1","1","2"
16,67,98,"Medium","Low","Low","Public","High School",63,"11-20","3","1","2"
25,84,84,"Low","Medium","High","Public","High School",70,"21-30","2","3","3"
22,73,72,"Low","Medium","Medium","Public","High School",66,"21-30","2","2","3"
16,83,56,"Low","High","Medium","Public","High School",68,"11-20","1","2","2"
25,73,69,"Medium","Medium","Medium","Private","High School",66,"21-30","2","2","3"
22,63,83,"Medium","Medium","Medium","Private","College",63,"21-30","2","1","3"
25,69,98,"Medium","Low","Medium","Public","College",66,"21-30","3","2","3"
24,68,74,"Medium","Medium","Medium","Public","High School",65,"21-30","2","1","3"
15,77,85,"High","Low","Medium","Public","Postgraduate",66,"11-20","2","2","2"
17,86,60,"High","High","Low","Private","College",67,"11-20","1","2","2"
24,71,81,"Medium","Low","Medium","Private","High School",66,"21-30","2","2","3"
24,60,62,"High","Low","High","Public","High School",63,"21-30","1","1","3"
20,81,60,"Low","Medium","Medium","Public","High School",66,"11-20","1","2","3"
21,84,75,"Low","High","Medium","Public","College",67,"21-30","2","2","3"
28,99,61,"Medium","Low","Medium","Public","High School",71,"21-30","1","3","3"
16,84,86,"Medium","Low","Medium","Private","High School",67,"11-20","2","2","2"
23,79,97,"Medium","High","Low","Public","High School",69,"21-30","3","2","3"
19,83,70,"Medium","Low","Medium","Public","Postgraduate",67,"11-20","2","2","2"
19,97,66,"High","Medium","Medium","Private","College",72,"11-20","2","3","2"
27,93,59,"High","Low","Medium","Private","High School",70,"21-30","1","3","3"
25,73,70,"Low","Low","Medium","Private","Postgraduate",67,"21-30","2","2","3"
25,69,78,"Medium","Low","High","Public","High School",64,"21-30","2","1","3"
28,71,69,"High","Medium","High","Private","College",67,"21-30","2","2","3"
20,80,81,"Medium","Medium","Medium","Private","Postgraduate",69,"11-20","2","2","3"
24,90,83,"Medium","Low","Medium","Private","College",68,"21-30","2","2","3"
18,80,55,"Low","Low","Low","Public","High School",63,"11-20","1","1","2"
22,63,85,"Medium","High","High","Public","College",68,"21-30","2","2","3"
19,89,95,"Medium","Medium","Medium","Public","High School",70,"11-20","3","3","2"
21,92,51,"Low","Medium","Medium","Public","College",66,"21-30","1","2","3"
24,72,78,"High","Low","High","Public","High School",68,"21-30","2","2","3"
15,87,80,"High","Low","Medium","Private","College",67,"11-20","2","2","2"
33,77,85,"Medium","Low","Medium","Private","High School",69,"30+","2","2","4"
14,96,69,"High","Medium","Medium","Private","College",66,"11-20","2","2","2"
13,94,91,"Low","Low","Medium","Public","High School",68,"11-20","3","2","2"
27,81,77,"Medium","Medium","Low","Public","Postgraduate",69,"21-30","2","2","3"
25,88,70,"Low","Medium","Medium","Private","Postgraduate",70,"21-30","2","3","3"
24,95,86,"High","Medium","High","Private","College",74,"21-30","2","3","3"
24,80,96,"High","Low","High","Public","College",70,"21-30","3","3","3"
20,73,91,"Low","Medium","High","Public","Postgraduate",66,"11-20","3","2","3"
15,90,97,"Medium","Low","High","Private","College",69,"11-20","3","2","2"
20,69,63,"Low","Low","Medium","Public","Postgraduate",64,"11-20","1","1","3"
16,76,56,"Medium","Low","Medium","Public","High School",62,"11-20","1","1","2"
26,95,77,"Medium","Medium","Medium","Public","High School",70,"21-30","2","3","3"
19,89,52,"Medium","Medium","Medium","Public","High School",68,"11-20","1","2","2"
15,76,84,"Low","Medium","High","Public","College",65,"11-20","2","1","2"
18,69,62,"Low","Medium","Medium","Public","High School",65,"11-20","1","1","2"
22,74,73,"Low","High","High","Public","Postgraduate",71,"21-30","2","3","3"
17,71,83,"Low","Medium","Medium","Public","High School",66,"11-20","2","2","2"
15,67,74,"Medium","Low","Medium","Public","College",61,"11-20","2","1","2"
21,90,62,"Low","Medium","High","Public","High School",67,"21-30","1","2","3"
21,70,94,"Medium","Low","High","Private","College",65,"21-30","3","1","3"
17,78,88,"Medium","Low","Medium","Public","High School",65,"11-20","3","1","2"
17,75,80,"Medium","Low","Medium","Private","High School",65,"11-20","2","1","2"
21,99,85,"High","Medium","Medium","Public","High School",73,"21-30","2","3","3"
11,76,71,"Medium","Medium","Low","Public","College",62,"11-20","2","1","2"
12,63,69,"Low","Medium","High","Public","College",60,"11-20","2","1","2"
16,64,58,"Low","Medium","Medium","Public","College",61,"11-20","1","1","2"
19,84,90,"High","Low","Medium","Private","Postgraduate",67,"11-20","3","2","2"
22,84,69,"Medium","Medium","High","Private","College",70,"21-30","2","3","3"
29,77,85,"Medium","Medium","Medium","Public","College",69,"21-30","2","2","3"
25,77,65,"High","Medium","Medium","Public","College",66,"21-30","2","2","3"
19,62,90,"Low","Low","High","Public","College",64,"11-20","3","1","2"
20,81,55,"Medium","High","Medium","Private","Postgraduate",68,"11-20","1","2","3"
14,80,81,"Medium","Low","Medium","Public","Postgraduate",67,"11-20","2","2","2"
20,66,90,"High","Medium","Medium","Public","College",64,"11-20","3","1","3"
18,64,83,"High","Low","Medium","Public","College",65,"11-20","2","1","2"
22,65,85,"Medium","High","Medium","Public","Postgraduate",66,"21-30","2","2","3"
15,64,76,"High","Medium","Medium","Private","High School",63,"11-20","2","1","2"
23,84,78,"Low","Low","Low","Public","High School",68,"21-30","2","2","3"
29,68,53,"Medium","Medium","Medium","Private","High School",66,"21-30","1","2","3"
19,70,63,"Low","Low","Low","Public","High School",63,"11-20","1","1","2"
22,67,86,"Low","Low","Medium","Public","High School",63,"21-30","2","1","3"
24,98,97,"Medium","Medium","Medium","Public","College",74,"21-30","3","3","3"
18,94,77,"Low","Medium","High","Public","College",70,"11-20","2","3","2"
21,69,86,"Medium","Low","Medium","Private","High School",68,"21-30","2","2","3"
20,73,84,"Medium","Medium","Medium","Public","Postgraduate",66,"11-20","2","2","3"
21,68,100,"Low","Medium","Medium","Public","High School",63,"21-30","3","1","3"
15,80,90,"Medium","Low","Medium","Public","College",67,"11-20","3","2","2"
